,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,5%,-$1\sigma$,median,+$1\sigma$,95%
Rs[0],0.76003,0.04318,0.67553,0.84018,0.00092,0.00065,2195.12994,1214.21333,0.99987,0.68678,0.71743,0.76195,0.80232,0.82985
per_b,11.19729,4e-05,11.19723,11.19736,0.0,0.0,1104.04979,948.49722,0.99999,11.19724,11.19725,11.19728,11.19732,11.19736
logs2[0],0.01439,0.06887,-0.11354,0.14331,0.00146,0.00144,2218.59913,1621.8086,1.00005,-0.09798,-0.05431,0.01301,0.08485,0.12807
logs2[1],-2.63313,0.32055,-3.19836,-2.09197,0.00905,0.00686,1705.24438,1378.19879,1.00117,-3.17063,-2.91402,-2.5977,-2.33461,-2.1824
logs2[2],-6.22621,0.97681,-8.09593,-4.5882,0.03383,0.02434,906.48274,892.25441,1.00274,-8.01149,-7.18879,-6.07729,-5.30375,-4.86541
phot_mean,-0.01799,0.01319,-0.0433,0.00585,0.00028,0.00021,2155.37016,1734.02066,1.0022,-0.04059,-0.03104,-0.01775,-0.0045,0.00324
rho_S,1.91946,0.38985,1.25729,2.66319,0.0366,0.02595,96.53073,512.22356,1.03822,1.34664,1.55108,1.89267,2.25143,2.62842
Ms[0],0.8517,0.2333,0.46681,1.27842,0.01312,0.00929,296.3749,783.77005,1.0153,0.53171,0.63805,0.82134,1.05993,1.25795
t0_b,2287.60533,0.00152,2287.60279,2287.60852,5e-05,4e-05,1088.1568,786.55042,1.00127,2287.60328,2287.60403,2287.60514,2287.60646,2287.60839
logror_b,-3.36029,0.02523,-3.40536,-3.31065,0.001,0.00071,635.32824,1046.49777,1.00926,-3.39977,-3.38453,-3.36093,-3.33622,-3.31987
ror_b,0.03474,0.00088,0.03319,0.03649,3e-05,2e-05,635.32824,1046.49777,1.00926,0.03338,0.03389,0.0347,0.03557,0.03616
rpl_b[0],2.88308,0.18145,2.52702,3.21247,0.00426,0.00301,1824.02513,1279.50097,1.00012,2.59299,2.70276,2.88046,3.06638,3.18652
