Q	GO cycle	Start	Stop	Archive date
0	-	2009 May 02	2009 May 11	2009 Oct 21
1	-	2009 May 13	2009 Jun 15	2009 Oct 23
2	1	2009 Jun 20	2009 Sep 16	2010 Jan 15
3	1	2009 Sep 18	2009 Dec 16	2010 Apr 15
4	1	2009 Dec 19	2010 Mar 19	2010 Aug 04
5	1	2010 Mar 20	2010 Jun 23	2010 Oct 23
6	2	2010 Jun 24	2010 Sep 22	2011 Jan 23
7	2	2010 Sep 23	2010 Dec 22	2011 Apr 23
8	2	2010 Dec 22	2011 Mar 24	2011 Jul 24
9	2	2011 Mar 19	2011 Jun 27	2011 Nov 18
10	3	2011 Jun 28	2011 Sep 27	2012 Jan 27
11	3	2011 Sep 29	2012 Jan 04	2012 May 04
12	3	2012 Jan 05	2012 Mar 28	2012 Jul 28
13	3	2012 Mar 29	2012 Jun 27	2012 Oct 23
14	4	2012 Jun 28	2012 Oct 03	2013 Feb 03
15	4	2012 Oct 05	2013 Jan 11	2013 May 06
16	4	2013 Jan 12	2013 Apr 08	2013 Aug 02
17	4	2013 Apr 09	2013 May 08	2013 Dec 09
